image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
einstein.png,6.112243,7.894592,35.643654,8.494059,-5.4073105,10.033813,12.610309,14.940117,11.7604475,14.236697,10.89868,30.713451,2.4864357,7.2632847,7.1188235,7.218015,3.0838668,6.919579,0.32548863,-0.66653436,4.149754,0.8900065,-0.52450216,0.46780458,-1.9610552,3.2864907,7.8251657,8.848855,12.477594,8.7754965,4.175733,0.7819709,-2.2414382,-1.6340673,6.9910026,-3.003677,1.7404112,0.9978913,0.43561357,5.991571,22.05836,-1.3031561,7.591277,5.4506946,7.229071,1.2719678,3.0054867,3.4408422,4.132378
einstein_c.png,23.177858,-0.15619713,23.30247,21.438595,-9.390555,0.45501357,9.812039,7.6776295,0.2962759,33.99691,7.0361905,30.048721,10.263116,-3.7910812,6.441179,8.019346,5.5485525,5.342249,1.5476619,1.1594604,9.91462,6.512646,0.5313747,4.647754,-2.4717045,7.1048527,8.154796,6.240575,16.872807,5.6809716,8.627961,2.0009363,5.6942444,-1.9481798,9.414957,0.15991591,4.7424865,8.859083,2.6401901,5.395665,14.2373,2.9828203,1.8922716,2.4053953,0.049492344,0.3985026,6.313177,0.060942583,2.0306146
elephant.png,11.8201065,10.819315,54.746986,7.0580945,2.00324,6.968625,4.4912486,-0.9579558,8.575888,5.3293123,2.8738148,9.255843,5.136734,-0.6485583,4.916369,10.296073,-3.1818557,14.022319,5.548748,3.8560913,5.2758965,3.7182138,-0.49382308,3.3176951,0.9144551,7.7352195,7.8549886,3.679277,18.963923,3.8970273,4.1528997,6.439416,-0.33142865,8.341124,2.535653,0.13553081,3.3221364,0.55101913,-5.4892807,2.3518224,10.212182,2.4758105,3.7383654,7.7162423,-1.8142469,1.3892088,4.720933,2.6598303,3.5883813
elephant_c.png,24.440046,4.862895,11.90871,12.052294,-0.402343,-2.7300649,2.0959597,2.7590215,6.9020605,30.241034,6.431789,12.315502,14.205022,7.062957,6.8584285,10.534031,0.52327526,1.1421376,7.869523,5.9589934,7.7423325,4.462103,1.9254793,3.4462214,1.0176053,0.3435889,-0.9629243,11.753035,0.32593495,1.4911658,1.3899506,5.527063,3.6433365,1.1002419,0.1303913,1.6426338,6.6443534,2.1408358,3.0517871,1.7223551,12.427323,-0.35584298,2.337382,2.2009215,2.6039774,0.97317064,3.7920501,1.335653,0.8337602
face.jpg,8.193818,1.5666857,26.339855,-0.08406732,6.589383,3.91127,4.580109,13.839589,7.3906293,24.954493,2.9067519,6.362164,2.8446283,3.7863233,1.5843464,6.87158,7.2892904,15.111496,7.955256,8.174824,3.9423294,11.632247,0.861598,1.1512607,1.7510136,12.741592,5.7801366,8.456757,4.6192846,10.574033,8.184319,11.599955,5.657597,8.372898,5.1344895,4.578621,3.5385556,-0.42490008,-4.875007,3.6052904,24.927387,6.9259114,8.482801,9.127363,5.7886066,3.984958,5.551858,3.3363705,5.5267973
face_c.png,8.352836,2.5703237,68.76458,6.796327,8.1325035,2.1726325,-0.60840046,-3.5902886,2.8246279,13.803944,2.1311374,2.9566905,4.307368,2.4212456,4.2364206,3.974382,-5.9080515,8.066513,0.803156,-0.70749485,-0.32667634,-1.4477608,0.7644901,-0.6266852,-0.92602485,2.1999643,-1.4651142,3.962936,5.3998413,0.8444285,-3.1770473,1.256342,6.556774,0.04634834,2.882837,-0.345474,2.2685483,-6.1473618,0.5122105,0.09624763,2.802547,2.3725986,1.815922,4.3065786,7.3864236,-3.2293246,3.1783228,1.5079492,1.382841
fantasy.png,4.559954,14.801617,15.10801,4.4407654,-2.0642083,4.9312496,12.500127,9.61576,3.4360964,22.817179,17.466719,23.224834,8.786139,-0.59734726,1.219264,6.054525,14.18351,11.67929,4.940381,-5.757335,13.854678,9.487767,-1.2860775,4.099746,2.0797987,-3.257851,3.0707135,9.090568,11.354772,11.600283,8.42096,-0.8797343,-2.8466218,-4.174843,10.913845,3.4403074,5.750913,3.0059416,5.45262,1.2912952,15.403104,6.8581514,1.2315104,2.1294892,4.818489,4.979097,3.4237094,0.88137966,3.5020065
fantasy_c.png,-1.2283182,10.270209,22.350636,5.216816,6.385079,40.80051,28.825218,8.262124,10.375549,1.3042496,22.22757,22.58315,2.8712618,1.6233672,3.0785093,8.572078,1.9900354,7.6206365,6.148002,7.4275546,3.3429384,4.7146072,0.19635203,7.475898,1.1159477,2.5465267,-1.3564783,5.219707,16.988365,4.247135,11.88395,0.31459174,4.6793785,2.6741023,0.28764027,4.54493,-2.4899905,6.4602757,-0.8962326,0.21998343,-0.57600385,6.862953,2.2437832,3.6621802,3.912315,3.0933962,-1.0375991,3.1692717,0.414134
flower.jpg,0.90990067,6.8072906,13.889229,3.2892332,1.9597795,38.656116,14.416106,4.6060038,5.1809416,28.194788,12.42008,9.18936,-4.985936,2.8611612,-0.39508286,-0.11678682,-0.5179579,2.6107707,5.387809,6.7253194,10.871306,3.8680658,6.265365,31.188896,4.0358486,7.09046,0.55612624,2.3226666,10.846637,4.3215446,6.6954284,4.045732,3.155446,3.2528718,8.576976,0.10722969,9.7150955,7.1186185,-7.8361945,-1.569104,23.198254,2.0121489,1.512191,3.0571585,1.3642821,0.2445778,3.6021795,6.047009,3.505287
flower_c.png,4.9336767,10.9772,18.590185,7.382682,8.81124,57.845776,16.142473,-5.8503585,5.2995334,3.0165148,17.914845,4.463705,-2.065377,3.114883,7.506767,3.459271,9.935435,4.9059725,8.697553,6.5559683,4.159407,4.233286,6.7302322,35.880898,7.475038,3.2741337,0.19722748,0.92616296,10.099968,8.845386,10.407765,3.6337953,4.5525203,2.2840555,6.9231973,-2.1047418,2.3019366,8.500216,-0.93580985,0.5653919,1.2878007,3.0017023,2.292955,4.469483,0.02613794,2.1204927,1.788491,9.832441,4.2022004
